object,count
poster,60
building,52
house,17
book,15
billboard,12
convenience store,10
woman,9
car,9
person,7
clothing,6
flower,5
man,4
window,3
television,3
land vehicle,3
cosmetics,3
girl,3
bottle,3
horse,2
furniture,2
auto part,2
tower,1
rose,1
shelf,1
shotgun,1
table,1
towel,1
computer monitor,1
picture frame,1
traffic sign,1
truck,1
vehicle,1
bookcase,1
wine,1
box,1
bus,1
personal care,1
desk,1
office building,1
camera,1
mammal,1
cart,1
human body,1
cat,1
fruit,1
chair,1
drink,1
dress,1
door,1
airplane,1
