object,count
bottle,351
beer,324
tin can,156
building,134
drink,87
poster,75
man,54
wine,47
clothing,35
house,33
person,28
billboard,19
book,12
car,10
snack,9
truck,9
table,8
human body,8
woman,7
whiteboard,6
convenience store,6
cocktail,5
boy,5
vehicle,4
mammal,4
wine glass,3
mug,3
boat,3
box,3
plant,3
bicycle,2
crab,2
cabinetry,2
refrigerator,2
lobster,2
juice,2
tableware,2
human arm,2
tent,2
window,2
houseplant,2
bottle opener,1
tank,1
suit,1
bookcase,1
train,1
skyscraper,1
shelf,1
seafood,1
umbrella,1
vehicle registration plate,1
motorcycle,1
picture frame,1
parking meter,1
countertop,1
cowboy hat,1
dessert,1
door,1
christmas tree,1
drum,1
fashion accessory,1
fast food,1
flag,1
flowerpot,1
girl,1
chicken,1
cart,1
human head,1
land vehicle,1
laptop,1
carnivore,1
mobile phone,1
computer keyboard,1
baked goods,1
