object,count
man,105
poster,99
building,82
clothing,68
person,56
book,55
woman,51
car,44
house,28
plant,20
convenience store,14
bus,13
bottle,13
land vehicle,11
human body,10
mobile phone,10
shelf,10
bookcase,10
billboard,10
mammal,9
girl,9
van,8
whiteboard,8
sports uniform,8
toy,7
drink,7
bicycle,7
suit,7
truck,6
skyscraper,6
boy,6
beer,6
camera,6
laptop,5
table,5
computer monitor,5
handbag,5
auto part,5
snack,5
boat,5
guitar,5
motorcycle,4
office building,4
tin can,4
door,4
bicycle wheel,4
wine,4
wheel,4
train,4
tire,3
tower,3
cat,3
flower,3
window,3
sports equipment,3
television,2
tablet computer,2
vehicle,2
pen,2
kettle,2
jacket,2
airplane,2
aircraft,2
human arm,2
brassiere,2
desk,2
flag,2
computer keyboard,2
drum,2
footwear,2
calculator,2
furniture,2
coin,2
barrel,2
box,2
baked goods,2
trumpet,1
teapot,1
doll,1
dog,1
dessert,1
sunglasses,1
swimming pool,1
swimwear,1
animal,1
dairy,1
taxi,1
curtain,1
tent,1
cosmetics,1
balloon,1
toilet,1
banjo,1
vehicle registration plate,1
vegetable,1
cabinetry,1
tripod,1
snowman,1
shorts,1
envelope,1
human hair,1
houseplant,1
horse,1
jeans,1
juice,1
helmet,1
headphones,1
hat,1
lifejacket,1
handgun,1
glove,1
mirror,1
glasses,1
musical instrument,1
office supplies,1
palm tree,1
football helmet,1
pencil case,1
food,1
picture frame,1
plastic bag,1
porch,1
fast food,1
refrigerator,1
remote control,1
ring binder,1
scoreboard,1
sculpture,1
seafood,1
fashion accessory,1
invertebrate,1
