object,count
man,18
poster,16
building,12
clothing,11
person,9
bottle,8
wine,7
woman,5
book,5
land vehicle,5
billboard,4
plant,4
picture frame,3
computer monitor,3
human body,3
table,2
watch,2
waste container,2
truck,2
human face,2
box,2
car,1
pillow,1
boat,1
bicycle,1
seafood,1
shelf,1
suit,1
toy,1
tableware,1
train,1
umbrella,1
vehicle registration plate,1
wheel,1
whiteboard,1
barrel,1
bookcase,1
mug,1
carnivore,1
mobile phone,1
cassette deck,1
cattle,1
camera,1
coffee cup,1
calculator,1
convenience store,1
dog,1
door,1
drink,1
frog,1
girl,1
human arm,1
baked goods,1
jacket,1
bus,1
mammal,1
boy,1
auto part,1
