object,count
poster,118
building,93
man,78
book,55
person,48
clothing,48
woman,46
girl,26
car,23
bottle,19
box,18
snack,16
house,16
toy,16
envelope,15
human body,12
convenience store,12
land vehicle,12
boy,11
shelf,11
plant,10
wine,9
window,9
mobile phone,8
table,8
billboard,8
television,8
drink,8
van,7
door,7
whiteboard,6
food,5
refrigerator,5
picture frame,5
mammal,5
fashion accessory,5
train,5
camera,5
bus,5
desk,4
beer,4
wheel,4
auto part,4
office building,4
bicycle,4
plastic bag,4
truck,4
computer monitor,4
helicopter,3
tableware,3
tin can,3
bookcase,3
dress,3
sports uniform,3
cat,3
suit,3
laptop,3
cake,2
scarf,2
pen,2
office supplies,2
wine glass,2
boat,2
motorcycle,2
sculpture,2
pillow,2
furniture,2
tool,2
closet,2
tent,2
vehicle,2
vehicle registration plate,2
chair,2
infant bed,2
tablet computer,1
vegetable,1
popcorn,1
telephone,1
weapon,1
pumpkin,1
rose,1
waste container,1
swimwear,1
strawberry,1
watch,1
shorts,1
scoreboard,1
sink,1
airplane,1
personal care,1
flowerpot,1
egg,1
drum,1
dessert,1
dairy,1
cream,1
computer keyboard,1
coin,1
clock,1
cheese,1
cattle,1
cannon,1
calculator,1
bowl,1
bow and arrow,1
bicycle wheel,1
belt,1
baked goods,1
fish,1
footwear,1
pastry,1
fountain,1
microphone,1
measuring cup,1
marine invertebrates,1
maple,1
knife,1
juice,1
jeans,1
jacket,1
ice cream,1
human leg,1
human hair,1
human face,1
human arm,1
houseplant,1
handbag,1
grape,1
fruit,1
ipod,1
