object,count
book,49
poster,46
man,38
clothing,34
person,24
building,11
boy,11
bottle,9
woman,7
human body,6
plant,6
bookcase,5
billboard,5
toy,4
mobile phone,4
house,4
sports uniform,4
drink,4
car,4
girl,3
shelf,3
snack,3
boat,3
bicycle,3
truck,2
muffin,2
motorcycle,2
cake,2
wheel,2
mammal,2
laptop,2
human head,2
human arm,2
guitar,2
vehicle,2
table,2
television,1
tent,1
tin can,1
weapon,1
vegetable,1
traffic light,1
train,1
scoreboard,1
wine,1
rifle,1
umbrella,1
airplane,1
picture frame,1
office building,1
balloon,1
beer,1
bicycle wheel,1
chair,1
coin,1
computer monitor,1
convenience store,1
doll,1
door,1
dress,1
drum,1
elephant,1
fax,1
flag,1
flying disc,1
axe,1
land vehicle,1
human face,1
