object,count
poster,69
bottle,50
man,27
drink,23
book,19
building,18
clothing,17
beer,13
tin can,12
convenience store,12
snack,9
person,8
box,7
wine,6
bookcase,6
shelf,6
woman,5
boy,5
whiteboard,5
billboard,5
spice rack,4
mammal,4
car,4
human body,3
land vehicle,3
laptop,3
truck,3
sports uniform,2
television,2
bus,2
toy,2
weapon,1
tableware,1
sandwich,1
watermelon,1
office building,1
necklace,1
mug,1
animal,1
jeans,1
human head,1
bicycle,1
bicycle wheel,1
butterfly,1
cat,1
coffee cup,1
coin,1
computer monitor,1
door,1
food,1
girl,1
guitar,1
handbag,1
hat,1
horse,1
auto part,1
human arm,1
human hair,1
house,1
