object,count
poster,67
book,27
man,22
building,11
person,8
woman,7
clothing,6
car,5
dairy,5
bottle,5
plant,4
boy,3
office building,3
picture frame,3
mobile phone,3
suit,3
snack,3
whiteboard,3
shelf,2
billboard,2
mammal,2
soap dispenser,2
table,2
personal care,2
convenience store,2
computer monitor,2
skyscraper,1
plastic bag,1
tin can,1
toy,1
tablet computer,1
baked goods,1
mug,1
marine mammal,1
bicycle,1
land vehicle,1
jacket,1
human face,1
house,1
food,1
fish,1
envelope,1
dress,1
dessert,1
cattle,1
bookcase,1
laptop,1
