object,count
bus,807
building,97
poster,60
man,42
land vehicle,38
clothing,36
book,35
person,34
car,29
billboard,23
truck,22
van,18
vehicle,17
woman,16
auto part,13
traffic sign,11
house,10
bottle,10
skyscraper,7
girl,6
snack,6
beer,6
train,5
window,5
plant,5
mobile phone,5
wine,5
human body,5
convenience store,4
shelf,4
drink,4
office supplies,4
laptop,4
table,3
suit,3
boy,3
airplane,3
computer monitor,3
food,3
watch,2
street light,2
furniture,2
tower,2
toy,2
porch,2
bicycle,2
box,2
television,2
desk,2
mammal,2
boat,2
human arm,2
whiteboard,2
waste container,1
bookcase,1
calculator,1
tent,1
tin can,1
towel,1
camera,1
cello,1
cheese,1
washing machine,1
weapon,1
umbrella,1
beaker,1
watercraft,1
bat,1
violin,1
vase,1
hat,1
coat,1
fast food,1
houseplant,1
fruit,1
human nose,1
knife,1
fountain,1
measuring cup,1
flag,1
motorcycle,1
office building,1
palm tree,1
sports uniform,1
door,1
plate,1
beetle,1
reptile,1
sculpture,1
seafood,1
dinosaur,1
shirt,1
curtain,1
pen,1
