object,count
poster,167
car,167
building,106
man,73
person,56
clothing,48
land vehicle,42
book,39
woman,31
billboard,28
golf cart,24
train,24
house,23
truck,18
bottle,17
toy,15
girl,13
auto part,12
whiteboard,12
scoreboard,11
human body,11
shelf,10
bus,10
van,10
mobile phone,9
boat,9
traffic sign,9
convenience store,8
tin can,8
snack,7
skyscraper,7
bookcase,7
mammal,6
table,6
sports uniform,6
motorcycle,5
parking meter,5
picture frame,5
wine,5
drink,5
plant,5
human arm,5
vehicle,5
window,4
jacket,4
barrel,4
boy,4
airplane,3
tower,3
computer monitor,3
suit,3
fashion accessory,3
office building,3
box,2
bicycle,2
mug,2
taxi,2
tablet computer,2
vehicle registration plate,2
stairs,2
snowmobile,2
camera,2
coffee cup,2
computer keyboard,2
baked goods,2
television,2
footwear,2
human face,2
human head,2
envelope,2
door,2
gondola,2
laptop,2
guitar,1
drum,1
tie,1
houseplant,1
tool,1
helmet,1
hat,1
bowl,1
bicycle helmet,1
measuring cup,1
umbrella,1
bread,1
beaker,1
waste container,1
watch,1
wheel,1
wheelchair,1
fast food,1
flag,1
animal,1
wine glass,1
beer,1
street light,1
human hair,1
dress,1
mixing bowl,1
digital clock,1
dessert,1
dog,1
office supplies,1
paddle,1
desk,1
cream,1
lavender,1
plastic bag,1
pumpkin,1
medical equipment,1
furniture,1
scissors,1
cocktail,1
sculpture,1
chest of drawers,1
shirt,1
chainsaw,1
knife,1
ambulance,1
cake,1
refrigerator,1
