object,count
poster,128
clothing,78
man,71
building,61
book,55
person,51
woman,41
girl,18
human face,12
plant,11
car,10
billboard,10
house,10
land vehicle,9
bus,8
suit,7
mobile phone,7
table,6
boy,5
shelf,4
office building,4
mammal,4
bookcase,4
truck,3
window,3
whiteboard,3
laptop,3
computer monitor,3
scoreboard,2
drink,2
bicycle,2
personal care,2
tablet computer,2
office supplies,2
toy,2
bottle,2
jacket,2
convenience store,2
furniture,2
van,2
human body,2
coin,2
tent,1
vehicle,1
television,1
tool,1
towel,1
wall clock,1
suitcase,1
weapon,1
blender,1
sports uniform,1
skyscraper,1
snack,1
drill,1
shirt,1
sewing machine,1
dress,1
home appliance,1
corded phone,1
human arm,1
human hair,1
human hand,1
lantern,1
auto part,1
candy,1
mug,1
camera,1
parking meter,1
calculator,1
pizza,1
box,1
rifle,1
scale,1
airplane,1
