object,count
poster,48
building,16
computer monitor,14
book,13
land vehicle,11
mobile phone,9
man,8
billboard,7
tire,6
person,6
office supplies,5
woman,5
clothing,5
house,4
wheel,4
laptop,4
traffic sign,3
whiteboard,3
window,3
shelf,3
auto part,3
bookcase,3
bus,3
camera,3
human body,2
convenience store,2
box,2
television,2
table,2
car,2
human hair,2
plant,2
mammal,2
girl,2
bicycle,2
office building,1
bicycle wheel,1
human head,1
infant bed,1
waste container,1
vehicle,1
van,1
train,1
jacket,1
guitar,1
tablet computer,1
mug,1
street light,1
sports equipment,1
snack,1
food,1
medical equipment,1
coffee cup,1
corded phone,1
computer keyboard,1
scoreboard,1
