object,count
snack,144
building,29
poster,25
food,24
dairy,20
person,17
man,14
convenience store,14
book,11
cheese,9
fast food,9
clothing,8
truck,8
sandwich,6
woman,5
baked goods,4
billboard,4
refrigerator,3
tin can,3
toy,3
plate,3
van,3
land vehicle,3
plant,2
vegetable,2
wine,2
juice,2
house,2
car,2
girl,2
drink,2
bottle,2
cabinetry,1
banana,1
window,1
whiteboard,1
bookcase,1
box,1
bread,1
bus,1
tent,1
tableware,1
human hand,1
shelf,1
hamburger,1
cocktail,1
coffee cup,1
dessert,1
dress,1
picture frame,1
pastry,1
mug,1
mixer,1
guitar,1
auto part,1
