object,count
poster,46
book,14
whiteboard,11
building,10
mobile phone,10
woman,8
laptop,5
person,5
man,5
snack,4
billboard,4
clothing,4
convenience store,3
box,3
hat,3
cosmetics,3
computer monitor,3
panda,2
tin can,2
land vehicle,2
car,2
tent,2
television,2
sink,1
boy,1
tablet computer,1
dairy,1
tableware,1
truck,1
vehicle,1
vehicle registration plate,1
scoreboard,1
parrot,1
plant,1
cheese,1
pen,1
door,1
office building,1
necklace,1
mug,1
ice cream,1
house,1
girl,1
fashion accessory,1
drink,1
motorcycle,1
