object,count
bus,347
poster,296
building,263
man,106
book,88
clothing,75
person,61
billboard,56
woman,47
traffic sign,35
land vehicle,34
car,33
plant,30
house,30
skyscraper,25
boat,20
train,18
tower,17
boy,14
toy,13
truck,13
vehicle,13
auto part,13
bottle,13
bookcase,11
girl,10
window,10
mammal,10
human body,9
van,8
airplane,8
shelf,7
mobile phone,7
beer,7
scoreboard,7
picture frame,5
coffee cup,5
furniture,5
human arm,5
tablet computer,5
door,4
convenience store,4
waste container,4
mug,4
television,4
sports uniform,4
bench,4
tent,4
snack,4
flag,4
box,3
office building,3
human face,3
table,3
street light,3
ambulance,3
suit,3
balloon,3
drink,3
envelope,3
computer monitor,2
bicycle,2
wine,2
digital clock,2
dog,2
whiteboard,2
bow and arrow,2
sculpture,2
scale,2
fashion accessory,2
ring binder,2
human hair,2
coin,2
clock,2
fountain,2
palm tree,2
jacket,2
guitar,2
laptop,2
cart,2
taxi,1
umbrella,1
baked goods,1
surfboard,1
ball,1
watercraft,1
wheel,1
vehicle registration plate,1
watch,1
bed,1
tire,1
watermelon,1
bird,1
cosmetics,1
stop sign,1
sports equipment,1
dessert,1
dinosaur,1
doll,1
dress,1
flower,1
food,1
corded phone,1
hat,1
helicopter,1
horse,1
hot dog,1
ipod,1
office supplies,1
parking meter,1
personal care,1
curtain,1
bread,1
sandwich,1
saucer,1
segway,1
shirt,1
human head,1
