object,count
poster,51
book,22
building,17
mobile phone,9
land vehicle,8
train,8
plant,8
person,8
clothing,7
man,7
woman,7
door,6
convenience store,5
car,4
house,4
billboard,4
laptop,3
auto part,3
window,3
bus,2
shelf,2
tablet computer,2
camera,2
television,2
traffic sign,2
mammal,2
suit,1
tank,1
bicycle wheel,1
wheel,1
ring binder,1
tent,1
tin can,1
toy,1
vehicle,1
boy,1
bookcase,1
bottle,1
mug,1
mirror,1
human face,1
helicopter,1
headphones,1
glasses,1
girl,1
drink,1
computer monitor,1
computer keyboard,1
coffee cup,1
airplane,1
