object,count
boat,56
poster,22
person,21
man,18
clothing,18
bottle,17
building,10
woman,9
wine,9
book,9
helicopter,8
airplane,8
car,8
plant,7
beer,7
train,7
traffic sign,7
land vehicle,6
girl,5
vehicle,5
watercraft,4
toy,4
truck,4
house,3
billboard,3
tin can,2
shelf,2
wheelchair,2
van,2
wall clock,2
picture frame,2
ice cream,2
castle,2
bus,2
lifejacket,2
horse,2
bookcase,2
flag,2
auto part,1
window,1
balloon,1
boy,1
vehicle registration plate,1
mobile phone,1
canoe,1
mammal,1
door,1
handbag,1
hat,1
skyscraper,1
human face,1
aircraft,1
