object,count
poster,80
building,58
book,32
box,18
house,17
car,17
woman,16
bottle,16
plant,13
person,12
man,10
clothing,9
land vehicle,8
boat,8
wine,5
shelf,5
truck,4
billboard,4
girl,4
drink,4
bookcase,4
dress,3
convenience store,3
scoreboard,3
television,3
boy,3
skyscraper,2
snack,2
shirt,2
table,2
whiteboard,2
toy,2
mobile phone,2
airplane,2
mammal,2
computer monitor,2
human body,2
cream,2
tower,1
tablet computer,1
tank,1
teddy bear,1
calculator,1
tent,1
bus,1
cake,1
vehicle,1
vehicle registration plate,1
wheel,1
beer,1
window,1
bed,1
sports equipment,1
human face,1
laptop,1
fashion accessory,1
auto part,1
human arm,1
motorcycle,1
muffin,1
office building,1
office supplies,1
perfume,1
houseplant,1
picture frame,1
glove,1
plastic bag,1
footwear,1
rose,1
flowerpot,1
flower,1
deer,1
