object,count
man,76
building,64
clothing,60
poster,49
woman,43
person,40
book,20
girl,16
shelf,11
suit,10
house,10
furniture,10
bus,9
boy,9
human body,8
bookcase,8
sports uniform,7
mammal,7
laptop,6
plant,5
table,5
land vehicle,4
picture frame,4
billboard,4
scoreboard,3
bicycle,3
dress,3
car,3
human head,2
boat,2
calculator,2
street light,2
snack,2
human face,2
chair,1
whiteboard,1
van,1
truck,1
tool,1
tablet computer,1
human hair,1
rugby ball,1
door,1
drum,1
flag,1
office building,1
mug,1
maple,1
flower,1
flowerpot,1
houseplant,1
coin,1
