object,count
poster,40
book,39
building,17
clothing,13
man,11
bus,10
woman,8
person,8
bottle,6
laptop,5
mobile phone,4
house,4
car,3
computer keyboard,3
suit,3
toy,3
wine,3
billboard,3
land vehicle,3
girl,3
human body,2
picture frame,2
beer,2
plant,2
human face,2
computer monitor,2
human arm,1
butterfly,1
wine glass,1
blue jay,1
watch,1
truck,1
bookcase,1
tower,1
television,1
tank,1
table,1
box,1
stairs,1
cheese,1
horse,1
cocktail,1
piano,1
pen,1
oven,1
mushroom,1
motorcycle,1
drink,1
drum,1
mammal,1
flower,1
frog,1
auto part,1
