object,count
poster,171
book,99
man,19
clothing,17
person,15
building,14
bookcase,12
shelf,8
woman,7
box,5
snack,4
girl,4
house,4
mobile phone,4
car,3
television,3
billboard,3
computer monitor,3
mammal,2
plant,2
personal care,2
whiteboard,2
office building,2
auto part,2
land vehicle,2
ipod,2
human body,2
cat,2
laptop,1
shotgun,1
window,1
bus,1
van,1
truck,1
traffic sign,1
camera,1
tablet computer,1
table,1
skyscraper,1
convenience store,1
coffee cup,1
bed,1
plastic bag,1
cosmetics,1
dog,1
oven,1
human face,1
motorcycle,1
human hand,1
microwave oven,1
limousine,1
