object,count
poster,119
building,58
book,35
man,32
car,22
person,17
clothing,17
woman,14
mobile phone,10
house,9
computer monitor,9
bottle,9
billboard,9
plant,8
bus,7
girl,6
mammal,5
laptop,4
box,4
convenience store,4
snack,4
whiteboard,4
shelf,4
personal care,4
boy,3
human body,3
window,3
vehicle,3
boat,3
suit,3
truck,3
auto part,3
picture frame,2
skyscraper,2
land vehicle,2
traffic sign,2
airplane,2
furniture,2
human hair,2
bookcase,2
knife,1
door,1
cello,1
surfboard,1
table,1
tablet computer,1
tableware,1
television,1
canoe,1
cake,1
shirt,1
wall clock,1
waste container,1
wheel,1
wheelchair,1
bicycle wheel,1
beer,1
wine,1
dress,1
drink,1
jacket,1
paddle,1
human head,1
human hand,1
lion,1
human arm,1
hat,1
office building,1
office supplies,1
pen,1
sewing machine,1
food,1
flower,1
elephant,1
plate,1
platter,1
drum,1
sculpture,1
lantern,1
