object,count
poster,65
building,26
whiteboard,26
book,25
man,19
bottle,17
person,11
clothing,10
mobile phone,9
woman,9
drink,8
computer monitor,7
house,7
car,5
wine,5
snack,5
table,5
beer,4
tin can,4
bus,3
office building,3
laptop,3
mammal,3
boat,2
tablet computer,2
tower,2
sports equipment,2
plant,2
land vehicle,2
vehicle,2
girl,2
furniture,2
convenience store,2
box,2
shelf,2
train,1
truck,1
waste container,1
television,1
window,1
suitcase,1
suit,1
piano,1
sandal,1
salad,1
remote control,1
billboard,1
popcorn,1
cake,1
bookcase,1
medical equipment,1
baked goods,1
jacket,1
human hand,1
human face,1
helmet,1
fashion accessory,1
chair,1
auto part,1
