object,count
building,50
poster,45
snack,39
dairy,25
food,23
cream,19
man,17
bottle,16
billboard,14
person,13
tin can,13
truck,13
book,12
van,12
drink,12
convenience store,11
land vehicle,10
fast food,6
house,6
cosmetics,6
clothing,6
car,5
vehicle,5
dessert,4
plant,4
baked goods,4
platter,3
plate,3
plastic bag,3
refrigerator,3
shelf,3
lipstick,3
woman,3
cabinetry,3
box,3
motorcycle,2
candy,2
beer,2
bus,2
toy,2
mug,2
personal care,2
mixer,2
whiteboard,2
girl,2
wine,2
ice cream,2
waste container,1
spoon,1
bicycle,1
boat,1
window,1
tent,1
sports uniform,1
human hair,1
cheese,1
shirt,1
cart,1
dinosaur,1
door,1
fashion accessory,1
flag,1
picture frame,1
flower,1
milk,1
food processor,1
human body,1
human head,1
