object,count
poster,55
man,39
clothing,32
woman,28
person,26
building,20
book,19
mammal,10
human body,9
girl,8
computer monitor,7
table,6
human hand,4
shirt,4
dress,3
whiteboard,3
suit,3
bookcase,3
desk,3
billboard,3
mobile phone,2
jacket,2
furniture,2
boy,2
guitar,2
computer keyboard,2
car,2
land vehicle,2
house,2
scarf,1
sewing machine,1
toy,1
sports uniform,1
waste container,1
stairs,1
sun hat,1
van,1
teapot,1
television,1
tin can,1
salad,1
animal,1
plant,1
dog,1
bottle,1
box,1
camera,1
chair,1
cosmetics,1
dessert,1
fashion accessory,1
office building,1
flower,1
home appliance,1
human arm,1
beer,1
laptop,1
mango,1
human face,1
