object,count
airplane,42
traffic sign,38
poster,34
building,19
book,17
land vehicle,16
clothing,12
plant,11
person,9
auto part,8
door,8
helicopter,8
man,7
house,7
billboard,7
car,6
truck,6
woman,6
toy,4
aircraft,3
window,2
vehicle,2
mammal,2
van,2
motorcycle,2
train,2
personal care,2
boy,2
tin can,2
home appliance,1
television,1
wheel,1
waste container,1
animal,1
bookcase,1
bottle,1
refrigerator,1
slow cooker,1
sculpture,1
glove,1
cannon,1
cattle,1
mechanical fan,1
coffeemaker,1
flag,1
flowerpot,1
human body,1
houseplant,1
human face,1
