object,count
poster,116
man,75
clothing,68
building,44
person,32
camera,31
woman,29
book,28
billboard,12
girl,12
mobile phone,9
laptop,7
boy,7
office building,7
box,7
human body,6
mammal,6
bookcase,5
television,5
jacket,4
shelf,4
whiteboard,4
bus,4
suit,3
plant,3
house,3
tablet computer,3
car,3
scale,3
headphones,2
land vehicle,2
mug,2
computer monitor,2
convenience store,2
table,2
desk,2
remote control,2
toy,2
human arm,2
home appliance,2
snack,1
tool,1
tent,1
umbrella,1
scoreboard,1
scarf,1
van,1
washing machine,1
watch,1
truck,1
animal,1
palm tree,1
office supplies,1
backpack,1
balloon,1
bed,1
candy,1
coffee table,1
corded phone,1
dress,1
flag,1
flower,1
flowerpot,1
food,1
hiking equipment,1
human face,1
auto part,1
musical keyboard,1
human head,1
