object,count
poster,53
book,34
building,28
car,20
bottle,18
person,17
man,15
clothing,15
plant,13
dog,13
billboard,13
woman,12
house,10
land vehicle,10
beer,9
van,8
window,8
convenience store,7
truck,7
wine,7
snack,6
bookcase,5
shelf,4
traffic sign,4
picture frame,4
girl,4
mobile phone,4
table,3
wheel,3
carnivore,3
auto part,3
bus,3
waste container,2
umbrella,2
whiteboard,2
train,2
ipod,2
adhesive tape,2
flower,2
barrel,2
high heels,2
drink,2
box,1
tent,1
tire,1
toy,1
cassette deck,1
camera,1
boy,1
human hair,1
tableware,1
boat,1
vehicle registration plate,1
bicycle wheel,1
bicycle,1
bench,1
bed,1
television,1
sports uniform,1
coffee cup,1
pen,1
jacket,1
mammal,1
handbag,1
glasses,1
mug,1
office building,1
drum,1
human face,1
plastic bag,1
door,1
refrigerator,1
cosmetics,1
skull,1
computer keyboard,1
human hand,1
