object,count
poster,73
book,20
building,17
drink,12
clothing,12
bottle,10
man,10
tin can,9
box,6
beer,5
boy,5
wine,4
human body,4
billboard,4
laptop,3
television,3
person,3
plant,3
house,3
woman,3
picture frame,2
convenience store,2
window,2
truck,2
toy,2
tableware,2
tablet computer,2
table,2
scoreboard,2
car,2
coffee cup,2
mobile phone,2
land vehicle,2
fast food,2
food,2
girl,2
desk,2
cream,1
sports uniform,1
bowl,1
umbrella,1
train,1
traffic sign,1
furniture,1
bus,1
cabinetry,1
dessert,1
human arm,1
swan,1
sock,1
mammal,1
snack,1
refrigerator,1
candy,1
porch,1
human face,1
fashion accessory,1
personal care,1
human hand,1
office supplies,1
office building,1
mug,1
ice cream,1
dairy,1
doughnut,1
