object,count
poster,127
book,102
man,46
clothing,28
person,21
woman,19
building,17
car,7
girl,6
bottle,6
house,5
plant,5
office building,5
snack,5
mammal,5
computer monitor,5
human body,5
beer,4
truck,4
drink,3
table,3
laptop,3
tablet computer,3
shelf,3
land vehicle,3
billboard,3
convenience store,3
vehicle,3
toy,2
human face,2
auto part,2
whiteboard,2
boy,2
mobile phone,2
bus,2
fashion accessory,2
airplane,2
human hair,2
camera,2
furniture,2
van,2
boat,2
food,2
waste container,1
window,1
skateboard,1
skull,1
skyscraper,1
snowman,1
swimming pool,1
suit,1
wine,1
tin can,1
wheel,1
vegetable,1
tool,1
aircraft,1
scissors,1
envelope,1
barrel,1
bicycle,1
bookcase,1
calculator,1
cat,1
cheese,1
coffee table,1
cupboard,1
desk,1
flower,1
picture frame,1
glasses,1
high heels,1
home appliance,1
human arm,1
motorcycle,1
muffin,1
nightstand,1
office supplies,1
personal care,1
jeans,1
