object,count
bottle,91
poster,62
beer,48
drink,30
man,28
convenience store,28
bookcase,22
clothing,20
cooking spray,17
person,17
woman,16
building,15
book,12
tin can,12
box,11
personal care,10
snack,8
pen,7
table,6
billboard,6
wine,5
hair spray,4
house,4
plant,4
dairy,4
girl,4
tire,3
land vehicle,3
television,3
toy,3
truck,3
cosmetics,3
bicycle,3
boy,3
wheel,3
car,3
food,3
furniture,2
bicycle wheel,2
bus,2
motorcycle,2
mammal,2
whiteboard,2
washing machine,2
human hand,2
tool,2
vegetable,2
vehicle,2
tablet computer,1
airplane,1
telephone,1
train,1
spice rack,1
human head,1
shelf,1
flower,1
cocktail,1
computer monitor,1
curtain,1
desk,1
dessert,1
envelope,1
fast food,1
fruit,1
refrigerator,1
glove,1
human body,1
jeans,1
knife,1
microphone,1
perfume,1
plate,1
wrench,1
