object,count
poster,77
book,55
man,52
clothing,38
person,34
building,30
woman,20
car,17
plant,10
house,10
girl,9
bottle,9
snack,7
boy,7
whiteboard,7
bookcase,6
bus,6
truck,5
convenience store,5
human body,5
shelf,4
airplane,4
boat,4
land vehicle,4
mammal,4
human arm,4
flower,3
human face,3
dairy,3
auto part,3
tin can,3
envelope,3
fashion accessory,3
table,2
human hair,2
human head,2
plastic bag,2
bicycle,2
skyscraper,2
picture frame,2
office supplies,2
billboard,2
spice rack,2
mug,2
sports uniform,2
mobile phone,2
drink,2
van,2
wine,2
tent,2
toy,2
camera,2
footwear,2
food,2
shirt,1
window,1
vehicle,1
vegetable,1
teddy bear,1
baked goods,1
train,1
tableware,1
suit,1
sunglasses,1
tower,1
sculpture,1
television,1
candle,1
scoreboard,1
ball,1
christmas tree,1
coffee cup,1
computer monitor,1
calculator,1
cooking spray,1
cupboard,1
desk,1
dessert,1
furniture,1
glasses,1
goggles,1
harmonica,1
helicopter,1
horse,1
aircraft,1
ice cream,1
jacket,1
laptop,1
bicycle wheel,1
cat,1
motorcycle,1
pillow,1
balloon,1
accordion,1
