object,count
poster,161
man,65
building,58
clothing,45
woman,41
person,34
human body,15
billboard,15
girl,10
beer,9
book,8
boy,7
car,7
plant,7
suit,6
mammal,6
balloon,6
table,5
bottle,5
bus,4
tent,4
convenience store,3
vehicle,3
land vehicle,3
sports uniform,3
truck,3
flower,3
mobile phone,3
house,3
television,2
sculpture,2
traffic sign,2
window,2
wine,2
human hair,2
chair,2
human arm,2
computer monitor,2
boat,2
bookcase,2
furniture,2
human head,1
curtain,1
toy,1
cocktail,1
train,1
van,1
door,1
vehicle registration plate,1
violin,1
ball,1
wine glass,1
desk,1
dress,1
auto part,1
shelf,1
drink,1
rose,1
fashion accessory,1
flag,1
picture frame,1
peach,1
palm tree,1
office building,1
musical instrument,1
mug,1
guitar,1
horse,1
airplane,1
