object,count
poster,51
book,22
computer monitor,15
clothing,11
man,9
car,9
woman,7
building,6
person,6
billboard,6
land vehicle,4
whiteboard,4
tablet computer,2
bicycle,2
mammal,2
van,2
laptop,2
bookcase,2
shelf,1
wheel,1
television,1
toy,1
truck,1
vehicle,1
plant,1
vehicle registration plate,1
tire,1
airplane,1
pillow,1
office building,1
auto part,1
human body,1
house,1
helicopter,1
girl,1
food,1
corded phone,1
convenience store,1
carnivore,1
camera,1
bicycle wheel,1
baked goods,1
wood-burning stove,1
