object,count
airplane,142
poster,62
man,56
clothing,47
person,30
book,21
car,11
building,11
aircraft,9
woman,9
land vehicle,8
bicycle,8
human body,7
truck,6
billboard,6
helicopter,4
plant,4
bicycle wheel,3
van,3
fashion accessory,3
flag,3
wheel,3
girl,3
boy,3
boat,2
sports uniform,2
office supplies,2
laptop,2
computer monitor,2
vehicle,2
scoreboard,2
wine,1
table,1
suit,1
tire,1
street light,1
stool,1
traffic sign,1
shirt,1
bottle,1
mobile phone,1
ambulance,1
auto part,1
paddle,1
mug,1
monkey,1
beer,1
mammal,1
house,1
footwear,1
flower,1
dog,1
cowboy hat,1
coffee cup,1
coffee,1
human head,1
