object,count
poster,33
man,14
book,14
clothing,10
billboard,7
plant,7
woman,6
building,6
house,4
bottle,4
bookcase,4
girl,4
owl,3
mobile phone,3
land vehicle,3
table,3
beer,2
shelf,2
human arm,2
person,2
train,2
whiteboard,2
bus,2
skyscraper,1
teddy bear,1
traffic sign,1
scoreboard,1
truck,1
window,1
wine,1
porch,1
tablet computer,1
auto part,1
picture frame,1
office building,1
mammal,1
infant bed,1
human body,1
helmet,1
hat,1
food,1
drink,1
dinosaur,1
desk,1
convenience store,1
cat,1
cart,1
car,1
jacket,1
