object,count
poster,121
book,46
building,35
person,21
man,20
clothing,18
bottle,17
woman,14
car,10
plant,9
house,8
girl,8
drink,7
billboard,7
camera,7
human body,6
boat,6
computer monitor,6
beer,6
land vehicle,5
boy,5
television,5
rifle,4
snack,4
tablet computer,4
tin can,4
tire,3
skyscraper,3
auto part,3
wine,3
wheel,3
box,3
vehicle,3
tower,2
toy,2
traffic sign,2
truck,2
airplane,2
mobile phone,2
door,2
houseplant,2
human arm,2
coffee cup,1
dessert,1
tool,1
desk,1
convenience store,1
bus,1
taxi,1
van,1
boot,1
wall clock,1
watch,1
bicycle wheel,1
window,1
bicycle,1
food,1
mug,1
musical instrument,1
table,1
sports uniform,1
handgun,1
serving tray,1
rose,1
refrigerator,1
human hand,1
platter,1
plate,1
jacket,1
personal care,1
mammal,1
palm tree,1
office supplies,1
handbag,1
