object,count
poster,96
man,35
clothing,34
book,24
building,23
person,21
woman,16
convenience store,13
girl,10
billboard,8
boy,6
bus,6
house,6
toy,6
snack,5
whiteboard,5
truck,4
land vehicle,4
car,4
plant,4
bottle,4
shelf,3
human body,3
mammal,3
baked goods,3
drink,3
bookcase,3
suit,3
skyscraper,3
box,3
tent,3
motorcycle,2
mobile phone,2
television,2
table,2
axe,2
picture frame,2
furniture,2
auto part,2
human face,2
food,2
traffic sign,2
van,2
wine,2
bicycle,2
tablet computer,1
tie,1
tire,1
vehicle,1
weapon,1
wheel,1
window,1
tower,1
airplane,1
pillow,1
dog,1
beer,1
bicycle wheel,1
boat,1
cake,1
candy,1
cat,1
computer monitor,1
dessert,1
doll,1
palm tree,1
door,1
football,1
human arm,1
human hair,1
jet ski,1
koala,1
mug,1
office supplies,1
human head,1
