object,count
poster,148
book,58
building,50
man,39
person,35
house,23
clothing,23
bus,23
snack,13
woman,12
car,12
bottle,11
truck,11
billboard,10
land vehicle,10
plant,8
mobile phone,8
suit,8
convenience store,6
picture frame,5
waste container,5
whiteboard,5
mammal,4
adhesive tape,4
boat,4
computer monitor,4
tablet computer,3
wine,3
furniture,3
skyscraper,3
watercraft,3
human body,3
table,3
van,2
box,2
motorcycle,2
bookcase,2
airplane,2
office building,2
vehicle,2
tin can,2
human arm,2
girl,2
tire,1
television,1
tank,1
tent,1
drink,1
tower,1
traffic sign,1
train,1
vehicle registration plate,1
ball,1
wheel,1
auto part,1
window,1
barrel,1
ring binder,1
beer,1
crab,1
fish,1
glasses,1
golf ball,1
guitar,1
door,1
human face,1
human head,1
jacket,1
lobster,1
sports uniform,1
cart,1
bronze sculpture,1
musical instrument,1
boy,1
envelope,1
sculpture,1
shelf,1
bicycle,1
light switch,1
