object,count
poster,65
book,36
woman,25
clothing,21
person,17
girl,14
building,14
man,7
bookcase,6
box,6
human body,5
convenience store,4
shelf,3
mammal,3
plant,3
furniture,2
mobile phone,2
human face,2
mug,2
beer,2
balloon,2
house,2
boat,2
table,2
dress,2
teddy bear,2
truck,2
coffee cup,2
billboard,2
car,2
boy,2
bottle,2
dessert,2
stairs,1
picture frame,1
tableware,1
toy,1
snack,1
window,1
sculpture,1
airplane,1
palm tree,1
necklace,1
musical instrument,1
laptop,1
jacket,1
guitar,1
fashion accessory,1
desk,1
crown,1
computer monitor,1
coffeemaker,1
cake,1
human arm,1
