object,count
poster,139
book,64
man,33
clothing,30
person,29
building,26
woman,24
human body,10
house,10
traffic sign,9
car,9
plant,7
mammal,6
girl,6
picture frame,5
table,5
toy,5
bottle,5
boy,4
van,4
billboard,4
shelf,4
bus,4
whiteboard,3
truck,3
drink,3
suit,2
mobile phone,2
bookcase,2
box,2
balloon,2
cart,2
shirt,2
human arm,2
sculpture,2
footwear,2
skyscraper,2
fashion accessory,2
desk,2
convenience store,2
snack,1
sports equipment,1
window,1
wine,1
vegetable,1
street light,1
tablet computer,1
television,1
tire,1
wheel,1
watercraft,1
tableware,1
baked goods,1
porch,1
platter,1
bench,1
bicycle,1
bicycle wheel,1
bronze sculpture,1
candle,1
cat,1
coin,1
computer monitor,1
dress,1
flag,1
houseplant,1
human hair,1
human leg,1
human nose,1
land vehicle,1
parking meter,1
pig,1
jacket,1
