object,count
poster,42
book,30
building,25
house,11
car,9
man,8
person,7
clothing,6
mobile phone,6
bottle,5
waste container,5
billboard,4
box,4
shelf,4
tableware,3
drink,3
adhesive tape,3
woman,3
human body,2
window,2
tablet computer,2
picture frame,2
camera,2
auto part,2
bookcase,2
toy,1
table,1
banjo,1
tire,1
truck,1
train,1
suit,1
van,1
baked goods,1
wheel,1
whiteboard,1
wine glass,1
swimming pool,1
coffee table,1
street light,1
sports equipment,1
desk,1
boat,1
plastic bag,1
plant,1
bus,1
cake,1
mammal,1
horse,1
girl,1
footwear,1
candy,1
door,1
dog,1
beaker,1
