object,count
poster,55
book,31
building,20
man,17
clothing,17
spice rack,14
person,12
woman,9
car,7
food,4
snack,4
billboard,4
plant,4
traffic sign,4
house,4
boy,3
television,3
bottle,3
rose,3
mammal,3
table,2
mobile phone,2
vehicle,2
human body,2
flag,2
dairy,2
camera,2
flowerpot,1
tablet computer,1
computer monitor,1
skyscraper,1
coffee cup,1
street light,1
bus,1
box,1
curtain,1
tin can,1
toy,1
bicycle,1
barrel,1
whiteboard,1
window,1
rifle,1
cutting board,1
frog,1
picture frame,1
palm tree,1
office building,1
mug,1
door,1
drink,1
elephant,1
limousine,1
laptop,1
land vehicle,1
animal,1
human arm,1
houseplant,1
girl,1
airplane,1
