object,count
poster,104
person,33
man,33
building,29
clothing,28
book,25
car,25
truck,25
woman,21
land vehicle,13
billboard,12
house,11
whiteboard,9
plant,9
girl,9
bus,8
office building,6
computer monitor,6
train,6
table,5
mobile phone,5
airplane,5
van,5
vehicle registration plate,5
sports uniform,4
boat,4
toy,4
plastic bag,4
bookcase,4
coffee cup,3
vehicle,3
mug,3
tin can,3
envelope,3
mammal,3
shelf,3
suit,2
tent,2
window,2
taxi,2
aircraft,2
drink,2
human body,2
bottle,2
doll,2
door,2
dress,2
laptop,2
home appliance,1
tire,1
auto part,1
balloon,1
wheel,1
waste container,1
bench,1
bicycle,1
human arm,1
umbrella,1
boy,1
desk,1
traffic sign,1
houseplant,1
tower,1
office supplies,1
hat,1
pencil case,1
tennis racket,1
horizontal bar,1
tablet computer,1
fashion accessory,1
suitcase,1
flowerpot,1
food,1
snack,1
shirt,1
fountain,1
scoreboard,1
guitar,1
human face,1
