object,count
building,46
poster,44
man,28
clothing,23
bus,15
book,15
house,15
bottle,14
person,13
plant,11
woman,9
land vehicle,8
traffic sign,8
billboard,6
drink,6
wine,6
boy,6
truck,4
baked goods,4
cake,4
car,4
auto part,3
shelf,3
girl,3
bicycle,2
bookcase,2
mobile phone,2
snack,2
jacket,2
airplane,2
picture frame,2
golf ball,2
sports uniform,2
door,2
van,2
sports equipment,1
sofa bed,1
suit,1
table,1
tent,1
skyscraper,1
vase,1
vehicle,1
watercraft,1
window,1
aircraft,1
office supplies,1
mug,1
brassiere,1
cabinetry,1
camera,1
coffee cup,1
convenience store,1
countertop,1
curtain,1
dog,1
flowerpot,1
footwear,1
furniture,1
gas stove,1
human body,1
human face,1
jug,1
laptop,1
limousine,1
mammal,1
mirror,1
insect,1
