object,count
poster,282
building,171
book,81
clothing,79
person,67
man,66
woman,60
house,53
computer keyboard,53
billboard,51
mobile phone,42
car,33
laptop,28
computer monitor,26
plant,23
scoreboard,23
convenience store,21
bookcase,19
pillow,17
shelf,16
television,15
girl,13
land vehicle,13
bus,13
human body,10
bottle,10
window,9
table,7
whiteboard,7
vehicle,7
van,7
truck,7
box,7
tablet computer,7
office supplies,6
mammal,6
human arm,6
picture frame,6
boy,6
snack,6
parking meter,5
drink,5
boat,4
furniture,4
sports uniform,4
suit,4
tent,4
tin can,4
rose,3
porch,3
personal care,3
tower,3
soap dispenser,3
airplane,3
desk,3
food,3
traffic sign,2
elephant,2
tableware,2
taxi,2
balloon,2
door,2
camera,2
guitar,2
toy,2
fast food,2
vehicle registration plate,2
closet,2
palm tree,2
candy,2
wheel,2
office building,2
wall clock,1
wine,1
chair,1
teddy bear,1
cupboard,1
drum,1
umbrella,1
tire,1
dog bed,1
couch,1
envelope,1
animal,1
snake,1
fashion accessory,1
hat,1
limousine,1
lobster,1
human hand,1
human face,1
houseplant,1
motorcycle,1
cabinetry,1
home appliance,1
hiking equipment,1
handbag,1
flag,1
bicycle wheel,1
bicycle,1
remote control,1
ruler,1
sandwich,1
beer,1
beaker,1
skyscraper,1
kitchen & dining room table,1
coffee table,1
