object,count
poster,74
book,60
person,30
clothing,30
building,28
man,28
woman,20
car,11
girl,8
human body,8
shelf,7
bookcase,7
bottle,7
house,7
mammal,6
plant,6
bus,5
mug,5
whiteboard,5
christmas tree,5
snack,4
coffee cup,4
computer monitor,4
boy,4
mobile phone,4
sculpture,4
window,4
table,3
picture frame,3
train,3
land vehicle,3
jeans,3
airplane,3
lobster,2
door,2
boat,2
street light,2
box,2
tablet computer,2
crab,2
personal care,2
snowboard,2
office supplies,2
bicycle,2
fashion accessory,2
wine,2
human head,2
beer,2
furniture,2
tableware,1
suit,1
billboard,1
truck,1
bicycle wheel,1
wheel,1
tent,1
tin can,1
tool,1
vehicle,1
towel,1
sports uniform,1
home appliance,1
snake,1
skyscraper,1
hat,1
jacket,1
food,1
animal,1
flower,1
medical equipment,1
drink,1
office building,1
palm tree,1
pen,1
doll,1
couch,1
platter,1
coffee,1
human arm,1
briefcase,1
