object,count
poster,180
building,98
man,65
clothing,52
woman,47
person,45
book,35
billboard,32
bus,24
truck,19
airplane,15
land vehicle,15
car,12
girl,11
table,10
suit,8
mobile phone,8
house,8
plant,7
human body,7
mammal,5
bottle,5
van,5
window,4
office building,4
tablet computer,4
laptop,4
boy,4
drink,4
computer monitor,4
bookcase,3
ring binder,3
boat,3
handgun,3
convenience store,3
auto part,3
watercraft,3
beer,3
tin can,3
shelf,2
palm tree,2
box,2
wheel,2
television,2
traffic sign,2
wall clock,2
dress,2
flag,2
sports uniform,2
vehicle,2
tower,2
tableware,1
wine,1
tire,1
toy,1
swimming pool,1
sunflower,1
wine glass,1
vehicle registration plate,1
street light,1
stairs,1
bicycle wheel,1
snack,1
skirt,1
bowl,1
bicycle,1
cattle,1
chair,1
clock,1
curtain,1
door,1
food,1
footwear,1
furniture,1
human head,1
human leg,1
invertebrate,1
jacket,1
kitchen knife,1
lamp,1
office supplies,1
parachute,1
plastic bag,1
balloon,1
rifle,1
scoreboard,1
sculpture,1
musical instrument,1
