object,count
poster,112
man,25
clothing,24
person,22
building,15
woman,10
mobile phone,9
billboard,9
book,8
bottle,7
computer monitor,6
plant,6
vehicle,6
car,5
girl,4
window,4
laptop,4
aircraft,4
drink,4
boat,3
tent,3
land vehicle,3
human body,2
mammal,2
house,2
van,2
boy,2
weapon,2
convenience store,2
auto part,2
whiteboard,1
suit,1
bicycle,1
barge,1
toy,1
tower,1
wine rack,1
television,1
table,1
segway,1
sports equipment,1
snack,1
jacket,1
scoreboard,1
fashion accessory,1
box,1
picture frame,1
office building,1
bull,1
cattle,1
juice,1
jet ski,1
drum,1
