object,count
poster,144
man,60
book,55
clothing,54
woman,53
building,36
person,35
plant,26
traffic sign,21
car,20
house,18
snack,18
food,17
billboard,17
girl,15
land vehicle,14
truck,13
bottle,12
drink,11
picture frame,11
door,10
human body,9
box,8
toy,8
train,6
whiteboard,6
boy,6
vehicle,5
dairy,5
coffee cup,5
mammal,5
airplane,5
wine,5
ambulance,5
bus,5
mobile phone,4
bookcase,4
van,4
table,4
shelf,4
plastic bag,4
office building,3
human hair,3
mug,3
laptop,3
office supplies,2
watercraft,2
umbrella,2
waste container,2
window,2
palm tree,2
personal care,2
vehicle registration plate,2
sofa bed,2
street light,2
watermelon,2
tent,2
tin can,2
juice,2
auto part,2
human face,2
computer keyboard,2
boat,2
helicopter,2
human arm,2
cat,2
human hand,2
jacket,2
closet,1
curtain,1
desk,1
cosmetics,1
dessert,1
computer monitor,1
cocktail,1
milk,1
watch,1
wardrobe,1
carnivore,1
taxi,1
beer,1
barge,1
window blind,1
animal,1
dog,1
fast food,1
fashion accessory,1
syringe,1
musical keyboard,1
necklace,1
houseplant,1
horse,1
golf cart,1
glove,1
plate,1
furniture,1
printer,1
sculpture,1
fountain,1
flower,1
sock,1
flag,1
spice rack,1
stairs,1
microwave oven,1
aircraft,1
