object,count
poster,158
book,108
building,99
man,61
clothing,49
person,41
woman,28
house,27
bottle,22
land vehicle,19
car,16
billboard,16
girl,15
bus,13
drink,11
boat,10
beer,10
bookcase,10
box,9
truck,9
plant,9
human body,8
shelf,8
furniture,7
skyscraper,7
auto part,7
boy,7
wine,6
bicycle wheel,6
wheel,6
whiteboard,5
bicycle,5
picture frame,5
suit,5
tin can,4
tire,4
snack,4
human arm,4
fashion accessory,4
motorcycle,3
convenience store,3
mobile phone,3
window,3
watch,3
van,3
train,3
mammal,3
tower,3
television,3
flower,2
scoreboard,2
sculpture,2
seafood,2
flag,2
coin,2
table,2
dairy,2
toy,2
traffic sign,2
cart,2
apple,2
coffee cup,2
airplane,2
human face,2
horse,2
golf ball,2
musical keyboard,1
fish,1
clock,1
drum,1
helicopter,1
guitar,1
vegetable,1
dress,1
wall clock,1
french fries,1
watercraft,1
camera,1
balloon,1
footwear,1
food,1
animal,1
taxi,1
palm tree,1
tablet computer,1
mug,1
curtain,1
crown,1
cosmetics,1
dog,1
laptop,1
door,1
ice cream,1
human leg,1
shorts,1
computer monitor,1
computer keyboard,1
snowplow,1
sports equipment,1
human hair,1
refrigerator,1
