object,count
building,53
poster,27
house,19
book,16
mixer,7
billboard,6
clothing,6
man,5
person,5
van,4
kitchen appliance,4
bus,4
woman,3
convenience store,3
home appliance,3
plant,2
bicycle,2
table,2
toy,2
truck,2
window,2
spoon,2
animal,2
food,2
countertop,2
blender,2
bottle,2
box,2
furniture,2
microwave oven,1
cupboard,1
wine glass,1
bicycle helmet,1
vegetable,1
drink,1
boat,1
houseplant,1
tent,1
drawer,1
cabinetry,1
snack,1
drum,1
coffee table,1
door,1
palm tree,1
muffin,1
chest of drawers,1
