object,count
poster,54
book,47
clothing,11
whiteboard,8
building,7
person,6
dog,6
plant,5
house,5
man,4
land vehicle,4
bookcase,4
truck,3
dairy,3
shelf,3
girl,3
coffeemaker,2
human body,2
box,2
van,2
table,2
flower,2
rose,2
convenience store,2
laptop,2
snack,1
pumpkin,1
beaker,1
television,1
tablet computer,1
pillow,1
toy,1
vase,1
vegetable,1
washing machine,1
bed,1
muffin,1
billboard,1
paper towel,1
office building,1
computer monitor,1
mobile phone,1
measuring cup,1
mammal,1
baked goods,1
home appliance,1
grape,1
furniture,1
flowerpot,1
drink,1
car,1
cosmetics,1
auto part,1
