object,count
poster,119
building,64
man,61
clothing,47
person,34
book,30
woman,29
bus,29
car,18
house,18
truck,16
billboard,11
bottle,11
plant,11
girl,10
convenience store,9
drink,8
land vehicle,7
window,7
mammal,6
table,5
tent,5
van,5
whiteboard,5
office building,4
traffic sign,4
laptop,4
human body,4
suit,4
airplane,4
corded phone,4
bookcase,4
door,3
shelf,3
furniture,2
beer,2
train,2
bull,2
sports uniform,2
mobile phone,2
scoreboard,2
auto part,2
limousine,1
box,1
taxi,1
television,1
boy,1
tin can,1
tire,1
helmet,1
tablet computer,1
hat,1
boat,1
weapon,1
wheel,1
bicycle,1
golf cart,1
tableware,1
dress,1
computer monitor,1
cake,1
snack,1
jacket,1
seafood,1
footwear,1
calculator,1
cart,1
picture frame,1
cattle,1
office supplies,1
cheese,1
motorcycle,1
desk,1
computer keyboard,1
human head,1
