object,count
poster,128
man,72
book,72
building,70
person,47
clothing,47
convenience store,45
woman,37
car,29
bottle,24
drink,21
plant,16
girl,16
bus,16
land vehicle,16
truck,11
whiteboard,11
billboard,11
snack,10
slow cooker,10
airplane,9
shelf,8
boy,8
human body,7
suit,6
wine,6
house,6
traffic sign,6
bookcase,6
musical instrument,5
mammal,5
computer monitor,5
table,5
office supplies,5
wheel,4
tin can,4
television,4
train,4
auto part,4
beer,4
van,4
sports uniform,4
office building,4
home appliance,3
mobile phone,3
food,3
palm tree,3
flower,3
pressure cooker,3
vehicle registration plate,3
desk,3
dairy,3
washing machine,3
watch,3
fashion accessory,3
plate,2
jeans,2
picture frame,2
printer,2
sculpture,2
plastic bag,2
laptop,2
tableware,2
jacket,2
boat,2
envelope,2
furniture,2
toy,2
tire,2
helicopter,2
tablet computer,2
candy,2
human hair,2
human hand,2
box,2
serving tray,1
scoreboard,1
watermelon,1
wall clock,1
violin,1
skyscraper,1
treadmill,1
sunflower,1
traffic light,1
tank,1
sandwich,1
sports equipment,1
stairs,1
scale,1
muffin,1
rabbit,1
guitar,1
bicycle wheel,1
flowerpot,1
fire hydrant,1
drum,1
dress,1
door,1
dinosaur,1
digital clock,1
bird,1
computer keyboard,1
coffee,1
blender,1
cart,1
camera,1
calculator,1
glasses,1
hair dryer,1
platter,1
hat,1
balloon,1
pillow,1
pen,1
parking meter,1
bread,1
motorcycle,1
mixer,1
bicycle,1
luggage and bags,1
insect,1
infant bed,1
human face,1
human arm,1
horse,1
headphones,1
aircraft,1
