object,count
poster,44
person,18
man,17
clothing,13
book,12
building,11
woman,10
car,6
boy,4
human arm,4
land vehicle,4
mammal,4
girl,4
plant,3
boat,3
shelf,3
bicycle,3
truck,3
guitar,3
furniture,2
snack,2
vehicle,2
picture frame,2
airplane,2
billboard,2
convenience store,2
bookcase,2
bottle,2
human body,2
drink,2
dinosaur,1
bicycle wheel,1
window,1
whiteboard,1
wheel,1
balloon,1
van,1
beer,1
train,1
tin can,1
suit,1
sports uniform,1
bench,1
skyscraper,1
shirt,1
rose,1
auto part,1
printer,1
flag,1
drawer,1
bus,1
office supplies,1
motorcycle,1
chest of drawers,1
coin,1
luggage and bags,1
laptop,1
house,1
human face,1
food,1
