object,count
poster,46
book,22
building,21
bus,15
man,12
clothing,12
woman,11
girl,11
person,7
boy,5
van,3
toy,3
table,3
personal care,3
mobile phone,3
human body,3
house,3
beer,3
boat,3
bottle,3
bookcase,2
ipod,2
vehicle,2
truck,2
television,2
shelf,2
scoreboard,2
mammal,2
airplane,2
drink,2
helmet,2
computer monitor,2
human face,1
sports uniform,1
wheelchair,1
vehicle registration plate,1
flower,1
food,1
bench,1
tomato,1
footwear,1
billboard,1
sports equipment,1
car,1
snack,1
hiking equipment,1
plant,1
desk,1
balloon,1
bowl,1
bread,1
human arm,1
cosmetics,1
