object,count
poster,79
building,57
book,32
house,18
person,17
man,16
clothing,12
billboard,10
plant,7
woman,6
mobile phone,6
convenience store,6
computer monitor,6
traffic sign,5
medical equipment,5
calculator,5
car,5
bottle,5
tablet computer,4
office supplies,3
table,3
picture frame,3
beer,3
bookcase,3
cat,2
shelf,2
porch,2
bird,2
suit,2
train,2
vehicle,2
office building,2
airplane,2
flag,2
laptop,2
land vehicle,2
bicycle,1
swimming pool,1
dress,1
door,1
television,1
tin can,1
toy,1
bus,1
strawberry,1
vegetable,1
dairy,1
watercraft,1
window,1
wine,1
doll,1
sports equipment,1
boy,1
snack,1
skyscraper,1
furniture,1
girl,1
handgun,1
popcorn,1
human body,1
human head,1
carnivore,1
penguin,1
mammal,1
musical instrument,1
motorcycle,1
piano,1
