object,count
building,179
poster,82
house,48
mobile phone,16
billboard,16
book,15
person,14
clothing,14
land vehicle,13
woman,12
bus,10
train,10
convenience store,10
man,8
truck,7
window,6
plant,6
traffic sign,5
door,5
van,5
car,4
girl,4
human hand,3
bottle,3
snack,3
table,3
tablet computer,3
street light,3
skyscraper,2
suit,2
sculpture,2
vehicle,2
whiteboard,2
toy,2
vegetable,2
mug,2
laptop,2
mammal,2
auto part,2
drink,2
beer,2
computer monitor,2
coffee cup,2
food,2
cart,1
cattle,1
cake,1
tent,1
box,1
bookcase,1
watch,1
banana,1
wine,1
tower,1
dress,1
tableware,1
fashion accessory,1
fish,1
fruit,1
glasses,1
golf cart,1
plate,1
handbag,1
human body,1
peach,1
pastry,1
office building,1
airplane,1
