object,count
building,45
poster,38
book,18
ambulance,17
man,17
clothing,13
van,11
person,11
woman,11
billboard,11
truck,10
house,7
car,5
plant,5
mobile phone,5
scoreboard,4
bookcase,4
girl,3
office building,3
land vehicle,3
bottle,3
drink,3
desk,3
window,2
auto part,2
toy,2
tin can,2
tableware,2
suit,2
shelf,1
balloon,1
train,1
table,1
snack,1
shirt,1
furniture,1
coat,1
human arm,1
convenience store,1
picture frame,1
personal care,1
chair,1
dog,1
medical equipment,1
insect,1
infant bed,1
human body,1
bicycle,1
