object,count
snack,45
dairy,35
poster,26
person,18
bottle,17
building,17
convenience store,17
food,15
drink,13
book,12
box,10
milk,7
clothing,6
man,6
human arm,5
land vehicle,5
shelf,5
car,5
refrigerator,4
plant,4
cheese,4
house,3
tin can,3
human hand,3
jeans,3
table,3
tableware,3
mammal,3
flag,2
billboard,2
personal care,2
van,2
mushroom,2
scoreboard,2
motorcycle,2
train,2
toy,2
kettle,2
human leg,2
human body,2
plate,2
furniture,2
girl,2
truck,1
saucer,1
raccoon,1
window,1
baked goods,1
picnic basket,1
office supplies,1
musical keyboard,1
musical instrument,1
mug,1
lifejacket,1
banana,1
juice,1
fast food,1
dress,1
dessert,1
cookie,1
coffee cup,1
candy,1
bus,1
woman,1
