object,count
poster,65
book,62
man,20
clothing,17
woman,12
bookcase,12
person,12
building,11
shelf,9
drink,7
tin can,7
car,5
mammal,4
suit,3
traffic sign,3
picture frame,3
van,3
window,3
girl,3
land vehicle,3
billboard,3
bus,3
plant,2
motorcycle,2
beer,2
bicycle,2
truck,2
tower,2
table,2
bottle,2
snack,2
mug,2
auto part,2
house,2
laptop,2
human body,2
mobile phone,1
tent,1
dress,1
wall clock,1
guitar,1
train,1
human arm,1
toy,1
boat,1
television,1
computer monitor,1
jacket,1
baked goods,1
skyscraper,1
convenience store,1
cake,1
furniture,1
coffee,1
coffee cup,1
oven,1
fast food,1
