object,count
poster,53
book,24
building,19
man,14
person,13
car,7
bottle,7
woman,6
house,6
clothing,6
shelf,6
food,5
billboard,4
tin can,4
vehicle,3
land vehicle,3
human body,3
girl,3
door,3
bus,3
plant,2
drink,2
picture frame,2
snack,2
wine,2
furniture,2
human face,2
boat,2
drawer,2
coffee cup,2
baked goods,2
cake,2
bicycle,2
tea,1
bicycle wheel,1
street light,1
sunflower,1
sunglasses,1
table,1
taxi,1
dress,1
teapot,1
skyscraper,1
traffic light,1
van,1
vehicle registration plate,1
wheel,1
window,1
auto part,1
television,1
bookcase,1
porch,1
boy,1
cosmetics,1
convenience store,1
guitar,1
computer monitor,1
apple,1
ipod,1
jacket,1
kettle,1
coffee,1
coat,1
mobile phone,1
mug,1
nightstand,1
chest of drawers,1
pillow,1
airplane,1
