object,count
book,57
poster,46
person,12
clothing,10
plant,10
man,8
building,8
billboard,7
woman,5
bottle,5
house,4
shelf,4
bookcase,4
drink,3
tin can,3
table,2
snack,2
tent,2
suit,2
beer,2
boy,2
car,2
flower,2
home appliance,1
refrigerator,1
wine,1
window,1
whiteboard,1
vehicle,1
box,1
butterfly,1
snake,1
convenience store,1
skyscraper,1
dog,1
eagle,1
human body,1
pillow,1
picture frame,1
food,1
office supplies,1
office building,1
mobile phone,1
furniture,1
mammal,1
girl,1
land vehicle,1
human face,1
laptop,1
